Product ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded;Tax rules ID;On sale (0/1);Manufacturer;Quantity;Description;URL rewritten;Image URLs (x,y,z...);Rozmiary (cechy)
4000;1;UNISEX - Klapki;Kobiety,Obuwie Damskie,Klapki;237.93;1;1;Crocs;7;<b>Materiał zewnętrzny:</b> Tworzywo sztuczne<br><b>Materiał wewnętrzny:</b> Tworzywa sztuczne<br><b>Wyściółka:</b> Tworzywo sztuczne<br><b>Podeszwa:</b> Guma odporna na ścieranie<br><b>Rodzaj ocieplenia:</b> Bez ocieplenia<br><b>Nosek buta:</b> Okrągły<br><b>Kształt obcasa:</b> Koturn, platforma<br><b>Zapięcie:</b> Brak<br><b>Wzór:</b> Kolor jednolity<br><b>Szczegóły:</b> Cut-outs<br><b>Numer produktu:</b> CR415G04R-Q11<br><b>Wysokość obcasa:</b> Bez obcasa<br><b>Wysokość platformy:</b> 2.5 cm w rozmiarze 37-38;unisex---klapki;https://img01.ztat.net/article/spp-media-p1/494a3e0a385744a2ac156ceeebb32fbc/7dbc0a81236d468e8175c3223783ba03.jpg?imwidth=156&filter=packshot,https://img01.ztat.net/article/spp-media-p1/2a1ed70e40414de9900fa4974edac7b9/c0b594071b824fb781209961840fabab.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/459b1b7cfe894befa8501c7b1d70a4b6/d29744e75adf48cfa1265df8e684a96c.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/cbda8e1c019c4607b932576608286139/9720277bb98845c695e8818d433ec783.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/a8c180eb44914440812080eedef870f3/b822c44c899c43718ec7e2eea2af01b4.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/2cddca3b43ba4ade89ac4b9fc3cd6d71/74afc7351138491aa13d99f50f4d1029.jpg?imwidth=156;36-37,42-43,43-44,46-47,39-40,45-46,38-39,41-42,48-49,37-38
4002;1;ARIZONA  - Klapki;Kobiety,Obuwie Damskie,Klapki;245.63;1;1;Birkenstock;2;<b>Materiał zewnętrzny:</b> Skóra ekologiczna<br><b>Materiał wewnętrzny:</b> Materiał<br><b>Wyściółka:</b> Skóra<br><b>Podeszwa:</b> Tworzywo sztuczne<br><b>Rodzaj ocieplenia:</b> Brak ocieplenia<br><b>Struktura/rodzaj materiału:</b> Skóra ekologiczna<br><b>Nosek buta:</b> Otwarty<br><b>Kształt obcasa:</b> Płaski<br><b>Zapięcie:</b> Brak<br><b>Szczegół:</b> Klamra<br><b>Wzór:</b> Kolor jednolity<br><b>Szczegóły:</b> Klamra<br><b>Numer produktu:</b> BI115F004-Q11<br><b>Wysokość obcasa:</b> Bez obcasa;arizona----klapki;https://img01.ztat.net/article/spp-media-p1/12be3f2f6c82446ba595b2a6a2d04db3/ac0c1de92a3a40458dc3a0051060b8e8.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/44f94964c11038ebacb96df66db92147/82bb8d0ae8004007ae872956430a7ac6.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/1006a69aed96474e9327743192f2a875/8f2fda64da074cbc9bfd8d3046d975a0.jpg?imwidth=156&filter=packshot,https://img01.ztat.net/article/spp-media-p1/df7db4dc515f46359f164bca5425c409/352ceb3912334b3fa374d4df140cb5e5.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/c783f3178f3b3a4295e09672e039c5e6/5edd30aa3aec4a71b29f51587dc03aca.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/fb2dc44e4dc838809dde0180fadb9ef9/7800da4639464a2ab9ef8f93a88d3b7b.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/4b69d158326631389e9870301d1f2621/e52372fdf0e14bb38f77d19e720689b9.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/406efcebc7ae38b69b2540db2aed67b9/fccc9cb6f1f74bba82aaaad0a42f84f7.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/3de965d3fa1333c9890b9293b59b9041/1653310ea4554b53ac83c97643f3c19f.jpg?imwidth=156;44,50,36,46,35,42,48,39,41,47,38,49,43,45,37,40
4004;1;ADILETTE UNISEX - Klapki;Kobiety,Obuwie Damskie,Klapki;129.36;1;1;adidas Originals;8;<b>Materiał zewnętrzny:</b> Tworzywo sztuczne<br><b>Materiał wewnętrzny:</b> Syntetyk<br><b>Wyściółka:</b> Syntetyk<br><b>Podeszwa:</b> Tworzywo sztuczne<br><b>Rodzaj ocieplenia:</b> Bez ocieplenia<br><b>Nosek buta:</b> Otwarty<br><b>Kształt obcasa:</b> Płaski<br><b>Zapięcie:</b> Brak<br><b>Wzór:</b> Kolor jednolity<br><b>Numer produktu:</b> AD115G02D-K11<br><b>Wysokość obcasa:</b> Bez obcasa;adilette-unisex---klapki;https://img01.ztat.net/article/spp-media-p1/6574f20b59dc4f6393ed36fff8a46a80/f52f9d1711d94b2584bad0eea8649b11.jpg?imwidth=156&filter=packshot,https://img01.ztat.net/article/spp-media-p1/f73698b085224e5eb8088df450ce29b8/eaf56814a2b84228a02bb323a5671166.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/599161683efb4680a060fdb47671090d/6fd0d5d2fcc34c159cceabe64f67643e.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/b5c41d69f9a24adf8e372c2820bf263e/4ca42297bfb64a428579b09a2e5daf79.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/7a2f54cea07d433aa561ccb6e5724f21/98688481b085413bbfbbfe21e934939a.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/da827cb3173943aaa6e0c6db8357afdd/967746168d6a408083404433f5fb4b85.jpg?imwidth=156;44.5,50,46,51,35,42,39,48.5,47,38,43,37,40.5
4006;1;UNISEX - Klapki;Kobiety,Obuwie Damskie,Klapki;64.68;1;1;Pier One;10;<b>Materiał zewnętrzny:</b> Zamsz<br><b>Materiał wewnętrzny:</b> Skóra<br><b>Wyściółka:</b> Skóra<br><b>Podeszwa:</b> Tworzywo sztuczne<br><b>Rodzaj ocieplenia:</b> Bez ocieplenia<br><b>Nosek buta:</b> Okrągły<br><b>Kształt obcasa:</b> Płaski<br><b>Zapięcie:</b> Brak<br><b>Wzór:</b> Kolor jednolity<br><b>Numer produktu:</b> PI915G006-Q11<br><b>Wysokość obcasa:</b> Bez obcasa;unisex---klapki;https://img01.ztat.net/article/spp-media-p1/ab6093991ebf47929cc261443b2bb75b/b694a5324d2c4e7f9e609a4da28486a5.jpg?imwidth=156&filter=packshot,https://img01.ztat.net/article/spp-media-p1/80f97c99f3d64cbc87ee8fafa1fa1fce/fde6946585594bb6b6c74b1693444f18.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/61b0a6e229b34ff0a2c623bdbecef4f4/4d309a52050a4badb4012456e00dd92b.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/8e7d345dc3d647a4b509fc3cfe8d9582/f59c33f6c7a3479bb78b29b076385564.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/29954fff450140348fa9adc5caffad0e/05f37b909baa499a8e3b141b20b578b8.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/35ca8110b7704beabe3006692d95a5a2/49ad5f600d3442eb8792429329a81ccf.jpg?imwidth=156;44,50,36,46,42,48,39,41,47,38,49,43,45,37,40
4008;1;UNISEX - Klapki;Kobiety,Obuwie Damskie,Klapki;64.68;1;1;Pier One;5;<b>Materiał zewnętrzny:</b> Zamsz<br><b>Materiał wewnętrzny:</b> Materiał<br><b>Wyściółka:</b> Skóra<br><b>Podeszwa:</b> Tworzywo sztuczne<br><b>Rodzaj ocieplenia:</b> Bez ocieplenia<br><b>Wskazówki pielęgnacyjne:</b> Przed pierwszym użyciem zalecamy zaimpregnowanie<br><b>Nosek buta:</b> Okrągły<br><b>Kształt obcasa:</b> Płaski<br><b>Zapięcie:</b> Brak<br><b>Wzór:</b> Kolor jednolity<br><b>Szczegóły:</b> Klamra<br><b>Numer produktu:</b> PI915G007-O11<br><b>Wysokość obcasa:</b> Bez obcasa;unisex---klapki;https://img01.ztat.net/article/spp-media-p1/b48d222ad0244c768f70667e79175f73/b2f2c87750d94ec395eb01645216d4ad.jpg?imwidth=156&filter=packshot,https://img01.ztat.net/article/spp-media-p1/6d365d3a1875488796988886ebb14a69/1ee5620fc90b4da0a452ce97dd5a5ed9.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/8b99e6a1de7a496eacffd26b866f4291/8a1a0ed86af44a0a99909d47ed4ae330.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/02233cacb142433b9ee0fc506768e220/86c0ad132d9a400d93935e172398d97e.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/eacf99a6a57a4e8eb52ce36edc4e1dd8/e69768ab4beb4130b1b0d2ade923c2e2.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/71a3513bec56435398aa8af04b8335d2/f2070e61d4304597be262052add66071.jpg?imwidth=156;44,50,36,46,42,48,39,41,47,38,49,43,45,37,40
4010;1;Klapki;Kobiety,Obuwie Damskie,Klapki;199.43;1;1;adidas Originals;3;<b>Materiał zewnętrzny:</b> Tworzywo sztuczne<br><b>Materiał wewnętrzny:</b> Tworzywa sztuczne<br><b>Wyściółka:</b> Tworzywo sztuczne<br><b>Podeszwa:</b> Tworzywo sztuczne<br><b>Rodzaj ocieplenia:</b> Bez ocieplenia<br><b>Nosek buta:</b> Otwarty<br><b>Kształt obcasa:</b> Płaski<br><b>Zapięcie:</b> Brak<br><b>Wzór:</b> Kolor jednolity<br><b>Numer produktu:</b> AD115G022-C11<br><b>Szerokość buta:</b> Średni<br><b>Wysokość obcasa:</b> Bez obcasa;klapki;https://img01.ztat.net/article/spp-media-p1/7019ef1709f141378e6afe2bddea2e85/bbbdfa83d743471690c2ac794d6472c4.jpg?imwidth=156&filter=packshot,https://img01.ztat.net/article/spp-media-p1/7953b3060c0940adb2097680a250938b/553bc33e92014eccb7120706af335d94.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/3188aae6c6304049b311b99777cb5713/45ab84a3a4c947d69b671d8f393b77fa.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/f07e02c552864b4ca4cecb0e035d6ef3/9470137ab7b0453bbdfb9a1d0426a89e.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/5078377f0e654155a1f7ffca87dbeb08/1fe2663dac0a42ec828aa98e9797682e.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/291b660f1ff04d6cb5b1065a326003b7/7373cb86ba1f4d72abe7c276dce087f8.jpg?imwidth=156;44.5,50,46,51,35,42,39,48.5,47,38,43,37,40.5
4012;1;Klapki;Kobiety,Obuwie Damskie,Klapki;207.13;1;1;adidas Originals;8;<b>Materiał zewnętrzny:</b> Tworzywo sztuczne<br><b>Wyściółka:</b> Syntetyk<br><b>Podeszwa:</b> Tworzywo sztuczne<br><b>Rodzaj ocieplenia:</b> Bez ocieplenia<br><b>Nosek buta:</b> Otwarty<br><b>Kształt obcasa:</b> Płaski<br><b>Zapięcie:</b> Brak<br><b>Wzór:</b> Kolor jednolity<br><b>Numer produktu:</b> AD115G022-O11;klapki;https://img01.ztat.net/article/spp-media-p1/fe1b45790dcb414aa42346d0d427c3c7/87851834f7ec411c999a3bbf1d9b0604.jpg?imwidth=156&filter=packshot,https://img01.ztat.net/article/spp-media-p1/40a0e57d0a3944129ac595857e2a24af/2ff8804541c449a7ab58e92e243fa1ab.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/d27448914b1742a1b7617c748e1fe76e/473fa770770c4af39e594c1523c07a5f.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/3c5832e6599e468eaf7c1082bcde0a10/b497886427ac4e5c8027d7e3e260c1e6.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/57b4597c2b08447c9375a0dea5202baf/54005300627f4d55b866a1f29df7bbe0.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/e7e363dac6734039a9d1ae3c706134a6/1b467e54586f4167a127442391ce8844.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/7a32b3ed939f42d293e345f3055053ea/9d0a8117c4da40aeafae85a659be7413.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/a049fec07b4e40b983c4e333aac064b0/8d312001c823412c9179008d4330eac9.jpg?imwidth=156;44.5,50,46,51,35,42,39,48.5,47,38,43,37,40.5
4014;1;UNISEX - Drewniaki i Chodaki;Kobiety,Obuwie Damskie,Klapki;167.09;1;1;Crocs;5;<b>Materiał zewnętrzny:</b> Tworzywo sztuczne<br><b>Materiał wewnętrzny:</b> Tworzywa sztuczne<br><b>Wyściółka:</b> Tworzywo sztuczne<br><b>Podeszwa:</b> Guma odporna na ścieranie<br><b>Rodzaj ocieplenia:</b> Bez ocieplenia<br><b>Nosek buta:</b> Okrągły<br><b>Kształt obcasa:</b> Obcas słupek, platforma<br><b>Zapięcie:</b> Brak<br><b>Wzór:</b> Kolor jednolity<br><b>Szczegóły:</b> Cut-outs<br><b>Numer produktu:</b> CR415G054-Q11<br><b>Wysokość obcasa:</b> Wysoki<br><b>Wysokość platformy:</b> 5 cm w rozmiarze 41-42;unisex---drewniaki-i-chodaki;https://img01.ztat.net/article/spp-media-p1/a4e58e2ed5e644db96dbf68736915033/62ea8720e0cd4b6099cd2f5a36dcbd9a.jpg?imwidth=156&filter=packshot,https://img01.ztat.net/article/spp-media-p1/fe8e1c1871e644129d9b11e3c5096a5c/164ab2a2fd2643adb67f8942b374f6df.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/0e41bde57be44a5686544151fee81127/1eb1af8beccd4e7d8b7fc18414efb836.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/e61abee7ec5948499172085d1ef56a2e/fb4225d589844243a5286cecf5e91cd4.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/d5bf869869c047258fdcb7e63a331355/f4c3663b84094666b05f56b4bf33a17c.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/c48ee2c5905442aa95d06d4f2d54d8f0/e02390c87a954e318d68ff91f1199c10.jpg?imwidth=156;36-37,42-43,43-44,46-47,39-40,45-46,38-39,41-42,48-49,37-38
4016;1;Klapki;Kobiety,Obuwie Damskie,Klapki;114.73;1;1;Crocs;6;<b>Materiał zewnętrzny:</b> Tworzywo sztuczne<br><b>Materiał wewnętrzny:</b> Tworzywa sztuczne<br><b>Wyściółka:</b> Tworzywo sztuczne<br><b>Podeszwa:</b> Guma odporna na ścieranie<br><b>Rodzaj ocieplenia:</b> Bez ocieplenia<br><b>Nosek buta:</b> Okrągły<br><b>Kształt obcasa:</b> Obcas słupek, platforma<br><b>Zapięcie:</b> Brak<br><b>Wzór:</b> Kolor jednolity<br><b>Szczegóły:</b> Cut-outs<br><b>Numer produktu:</b> CR411A04D-Q11<br><b>Wysokość obcasa:</b> Niski<br><b>Wysokość platformy:</b> 3 cm w rozmiarze 37/38;klapki;https://img01.ztat.net/article/spp-media-p1/745d77c82ef9470d8a054111c1fd0437/5ea4ddf53b00423f8470dc693c54821a.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/dbe4bfa3a7774e11b9c5e10a79d8fcf1/65daddf229444f34a0bc972160981867.jpg?imwidth=156&filter=packshot,https://img01.ztat.net/article/spp-media-p1/091c8a1dcada4432abbf889a7aaf50f0/9a777a6fe4484e469ce72f81a908019b.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/34ca745944164f8f9ac2169f3eaba7f4/a45c1cf2df7840178ab25c42b9d91b9d.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/a3a2d2b128ce4542a6ca5dd89d80acb2/fa923874495f4deeb31557ddf6a882bb.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/0b9134fbd78247379f888a29178acd51/d1759ae6a29942c890fb10977e9cfc43.jpg?imwidth=156;33/34,36/37,37/38,39/40,34/35,41/42,38/39,42/43
4018;1;Drewniaki i Chodaki;Kobiety,Obuwie Damskie,Klapki;133.38;1;1;Crocs;10;<b>Materiał zewnętrzny:</b> Tworzywo sztuczne<br><b>Materiał wewnętrzny:</b> Syntetyk<br><b>Wyściółka:</b> Syntetyk<br><b>Podeszwa:</b> Podeszwa z tworzywa sztucznego Shock Absorber<br><b>Rodzaj ocieplenia:</b> Bez ocieplenia<br><b>Rodzaj sportu:</b> Urban outdoor<br><b>Nosek buta:</b> Okrągły<br><b>Kształt obcasa:</b> Płaski<br><b>Zapięcie:</b> Brak<br><b>Wzór:</b> Nadruk<br><b>Szczegóły:</b> Cut-outs<br><b>Numer produktu:</b> CR415G02X-K15<br><b>Wysokość obcasa:</b> Bez obcasa;drewniaki-i-chodaki;https://img01.ztat.net/article/spp-media-p1/fdc941a6c579480989fcaa2594f737e9/be88a970356441a0837f141c993d936e.jpg?imwidth=156&filter=packshot,https://img01.ztat.net/article/spp-media-p1/965fd41d78534739b686c05a50e88c4b/4010dcf29a6f45178bda637e460f1a75.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/c632bc1100a14c98816970bf173a5392/9269e0b1194441208dcf9020a088670d.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/bae4261cdb5546d4a973dda61f68a7fb/01fff6d7e794431590e336b619c32273.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/f415a11cce8a424dac9e25d64e4ef329/c19c088f188a4451ba171a010316dc40.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/e708f604aa1b47fb8f36f30b39ed4411/cea992900e084f57aed944ba2327d0be.jpg?imwidth=156;36-37,42-43,43-44,46-47,39-40,45-46,38-39,41-42,48-49,37-38
4020;1;ARIZONA - Klapki;Kobiety,Obuwie Damskie,Klapki;176.33;1;1;Birkenstock;10;<b>Materiał zewnętrzny:</b> Tworzywo sztuczne<br><b>Materiał wewnętrzny:</b> Tworzywa sztuczne<br><b>Wyściółka:</b> Tworzywo sztuczne<br><b>Podeszwa:</b> Tworzywo sztuczne<br><b>Rodzaj ocieplenia:</b> Brak ocieplenia<br><b>Nosek buta:</b> Otwarty<br><b>Kształt obcasa:</b> Płaski<br><b>Zapięcie:</b> Brak<br><b>Szczegół:</b> Klamra<br><b>Wzór:</b> Kolor jednolity<br><b>Szczegóły:</b> Klamra<br><b>Numer produktu:</b> BI111F00R-Q11<br><b>Wysokość obcasa:</b> Bez obcasa;arizona---klapki;https://img01.ztat.net/article/spp-media-p1/c6a5960ca3a03c318a49523207bd8359/b08f420a21e746a98a447c07acfafd4b.jpg?imwidth=156&filter=packshot,https://img01.ztat.net/article/spp-media-p1/621ad2500ac13ac6b073ed9f65cdfc3a/03677a029e70430a9649bffd5eea141d.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/33be081893a63c1fbaee02089623f0f0/c9aa52b35c924ec891a436898646357f.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/1a05ff42d31038a7a3c1b0052a83bb6c/c2254fb21d9344169f74931baea5e224.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/99b78a39b9a1358fb18695aeefc1fa9c/a0c62a2db2e74409a60eb5bf79c5da9a.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/6a50e68140c238fbac50cdd01c862104/71ab567d5f4f40f481530054a9eac076.jpg?imwidth=156;36,35,39,41,38,37,40
4022;1;UNISEX - Sneakersy niskie;Kobiety,Obuwie Damskie,Klapki;361.13;1;1;Puma;7;<b>Materiał zewnętrzny:</b> Skóra i materiał<br><b>Materiał wewnętrzny:</b> Materiał<br><b>Wyściółka:</b> Włókno<br><b>Podeszwa:</b> Tworzywo sztuczne<br><b>Rodzaj ocieplenia:</b> Brak ocieplenia<br><b>Wskazówki pielęgnacyjne:</b> Przed pierwszym użyciem zalecamy zaimpregnowanie<br><b>Nosek buta:</b> Okrągły<br><b>Kształt obcasa:</b> Płaski<br><b>Zapięcie:</b> Sznurowanie<br><b>Wzór:</b> Kolor jednolity<br><b>Szczegóły:</b> Cut-outs<br><b>Numer produktu:</b> PU115O0OJ-C11<br><b>Wysokość obcasa:</b> Bez obcasa;unisex---sneakersy-niskie;https://img01.ztat.net/article/spp-media-p1/65ebc503741442fda48eee5e867c6f27/8d26bb2bcdab42c08f19c4d29f13f080.jpg?imwidth=156&filter=packshot,https://img01.ztat.net/article/spp-media-p1/b8327f11ce284d31b9d0c9b82755923a/4dd48e73504b4d06a1905f6c4fec2a06.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/81aafeae73404bbaa4bf71d46d7c72c8/556545d245614945a71f8ab8fed09015.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/607a76029b1941f497fa2732011114b5/a3a8401ceda3406088b6747df892dacc.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/32e92973a26949c6a17fcd7f53a196f8/257f3e4e5dc44653aef0379aaa883b99.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/fa91fd8c92874ecd963a85c5bb3aac30/07228ed8c3c84a7fa634a0d3ee0fc5c5.jpg?imwidth=156;44,44.5,36,46,38.5,42,42.5,48,39,41,40.5,37.5,47,38,43,45,37,40
4024;1;UNISEX - Sneakersy niskie;Kobiety,Obuwie Damskie,Klapki;484.33;1;1;FENTY x PUMA;6;<b>Materiał zewnętrzny:</b> Nubuk<br><b>Materiał wewnętrzny:</b> Materiał<br><b>Wyściółka:</b> Włókno<br><b>Podeszwa:</b> Guma odporna na ścieranie<br><b>Rodzaj ocieplenia:</b> Brak ocieplenia<br><b>Nosek buta:</b> Okrągły<br><b>Kształt obcasa:</b> Płaski<br><b>Zapięcie:</b> Sznurowanie<br><b>Szczegóły:</b> Dodatkowa para sznurówek<br><b>Numer produktu:</b> F0D11A006-I11<br><b>Wysokość obcasa:</b> Niski;unisex---sneakersy-niskie;https://img01.ztat.net/article/spp-media-p1/05c426b3b5f9455d8702dcd26431859d/759301c008d8492a8fe5f1b79d9ae9a3.jpg?imwidth=156&filter=packshot,https://img01.ztat.net/article/spp-media-p1/810111d7055d4839a443a964545f0e00/cd6f0202e5034f8c958facf0589e3d39.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/b2a4072560504581b31799192faa35be/1a221b927a944ce2a326a86b327767c3.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/feb9dd91392d4e5b89e45245989e9553/327fc12d1a9140c6b604b35eaf944310.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/844b0a23364b4bd6903dc039ef3d1065/a005fc71e581495591b23379eaa19703.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/d50d965673a542d79b4c3f7fbad0fd15/b57a61a38bb54814a00ce42433394753.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/ea4435e9c39d48cca5ecc9bf90e57e45/7409539075b643c38d3d9e28ac648cde.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/c1ab4971542547c88d315bf5eab30b80/9ac2074b87e54c7b924e450477e6dbe1.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/44b855a610d34453a32f4ab7fd872d4c/4c672cca301b4552a532da15f3f3519b.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/b95da3a6d1cb44ea87cb5bbe70bc8abc/65da4455378e47ac990c3589bfa8b184.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/ef9303ea4060404ba29d41ebd2755dbb/aabb2c1a80b6461dbfba0b9a501b6a8e.jpg?imwidth=156;44,44.5,36,46,38.5,42,42.5,39,41,40.5,37.5,47,38,43,45,37,40
4026;1;UNISEX - Sneakersy niskie;Kobiety,Obuwie Damskie,Klapki;484.33;1;1;FENTY x PUMA;4;<b>Materiał zewnętrzny:</b> Nubuk<br><b>Materiał wewnętrzny:</b> Materiał<br><b>Wyściółka:</b> Włókno<br><b>Podeszwa:</b> Guma odporna na ścieranie<br><b>Rodzaj ocieplenia:</b> Brak ocieplenia<br><b>Nosek buta:</b> Okrągły<br><b>Kształt obcasa:</b> Płaski<br><b>Zapięcie:</b> Sznurowanie<br><b>Wzór:</b> Melanż<br><b>Szczegóły:</b> Dodatkowa para sznurówek<br><b>Numer produktu:</b> F0D11A006-Q11<br><b>Wysokość obcasa:</b> Bez obcasa;unisex---sneakersy-niskie;https://img01.ztat.net/article/spp-media-p1/aceea461c7b34a52b185dc6117a02c74/82b22b8920104ee7b8481e94fd4eb4b9.jpg?imwidth=156&filter=packshot,https://img01.ztat.net/article/spp-media-p1/2e3c0f988cd7462a82a5a8478b6ea8aa/8ce1e5ed566a452387d930f9b1ea3b5b.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/abbdd167c2594de0b5d3bf2ae3ac9992/5b288ca312d34a35b606c93d3d846ee9.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/377ab44b2b19448997f7aa0eb140fef3/8fa7402137554b81aa09a6496ff918fb.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/46652ac579054042ba59954c3a60675b/51a235c705354a5e9a10246ae70de47f.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/2dd1b63499814851ba73f042e1ef8267/55776b60f43f4230a50cd5e8ad06ba99.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/c38cb2743dca4349abfc1df7f327744c/8a6d22fdf1764885969e9de3f8bdfd23.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/17919acc04a74414b3b03f23a85bc0f5/59bc076188ab41b093bc615a3811a8ec.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/f167145154004824bf26eda17b7e1f66/4ab1f5a630f44afeb3a54e14db5637f5.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/9763e74881064b38b495a7e063f4ffd5/ce1ea7e5739943feab3a09f5bbb0ba46.jpg?imwidth=156,https://img01.ztat.net/article/spp-media-p1/4942a95eff1b48858c35a1f37d9f5889/eb3e017482c14e6cbe801caee82855c1.jpg?imwidth=156;44,44.5,36,46,38.5,42,42.5,39,41,40.5,37.5,47,38,43,45,37,40
